uid,title,version,domain,owner,status,linked_baseline,license_required,source_url,effective_date
STD-001,ARP4754A,Rev A,AIRCRAFT,Systems Engineering Lead,ACTIVE,Baseline-1.0,YES,SAE International,2024-01-01
STD-002,ARP4761,Current,AIRCRAFT,Safety Engineer,ACTIVE,Baseline-1.0,YES,SAE International,2024-01-01
STD-003,DO-178C,Current,AIRCRAFT,Software Lead,ACTIVE,Baseline-1.0,YES,RTCA/EUROCAE,2024-01-01
STD-004,DO-254,Current,AIRCRAFT,Hardware Lead,ACTIVE,Baseline-1.0,YES,RTCA/EUROCAE,2024-01-01
STD-005,DO-160G,Rev G,AIRCRAFT,Test Engineer,ACTIVE,Baseline-1.0,YES,RTCA/EUROCAE,2024-01-01
STD-006,DO-297,Current,AIRCRAFT,Systems Integration Lead,ACTIVE,Baseline-1.0,YES,RTCA,2024-01-01
STD-007,DO-326A,Rev A,AIRCRAFT,Cybersecurity Lead,ACTIVE,Baseline-1.0,YES,RTCA/EUROCAE,2024-01-01
STD-008,DO-330,Current,AIRCRAFT,Software QA Lead,ACTIVE,Baseline-1.0,YES,RTCA/EUROCAE,2024-01-01
STD-009,DO-331,Current,AIRCRAFT,MBSE Lead,PLANNED,Baseline-2.0,YES,RTCA,2025-01-01
STD-010,EASA CS-25,Amendment 27,AIRCRAFT,Certification Lead,ACTIVE,Baseline-1.0,NO,EASA,2024-01-01
STD-011,FAA 14 CFR Part 25,Current,AIRCRAFT,Certification Lead,ACTIVE,Baseline-1.0,NO,FAA,2024-01-01
STD-012,ECSS-E-ST-10C,Rev 1C,SPACECRAFT,Systems Engineering Lead,ACTIVE,Baseline-1.0,NO,ESA,2024-01-01
STD-013,ECSS-E-ST-40C,Rev 2C,SPACECRAFT,Software Lead,ACTIVE,Baseline-1.0,NO,ESA,2024-01-01
STD-014,ECSS-Q-ST-80C,Rev 2C,SPACECRAFT,Software QA Lead,ACTIVE,Baseline-1.0,NO,ESA,2024-01-01
STD-015,ECSS-Q-ST-70C,Rev 1C,SPACECRAFT,Hardware QA Lead,ACTIVE,Baseline-1.0,NO,ESA,2024-01-01
STD-016,ECSS-E-ST-31C,Rev 1C,SPACECRAFT,Structures Lead,ACTIVE,Baseline-1.0,NO,ESA,2024-01-01
STD-017,ECSS-E-ST-20C,Rev 1C,SPACECRAFT,Electrical Lead,ACTIVE,Baseline-1.0,NO,ESA,2024-01-01
STD-018,ECSS-Q-ST-60C,Rev 2C,SPACECRAFT,Radiation Engineer,ACTIVE,Baseline-1.0,NO,ESA,2024-01-01
STD-019,ISO/IEC/IEEE 15288,2023,CROSS_CUTTING,MBSE Lead,ACTIVE,Baseline-1.0,YES,ISO,2024-01-01
STD-020,ISO/IEC/IEEE 42010,2022,CROSS_CUTTING,MBSE Lead,ACTIVE,Baseline-1.0,YES,ISO,2024-01-01
STD-021,IEC 61508,Ed 2.0,CROSS_CUTTING,Safety Engineer,ACTIVE,Baseline-1.0,YES,IEC,2024-01-01
STD-022,ISO 10303-242,2022,CROSS_CUTTING,Data Manager,ACTIVE,Baseline-1.0,YES,ISO,2024-01-01
STD-023,AS9100D,Rev D,CROSS_CUTTING,Quality Manager,ACTIVE,Baseline-1.0,YES,SAE/IAQG,2024-01-01
STD-024,ISO 21434,2021,CROSS_CUTTING,Cybersecurity Lead,ACTIVE,Baseline-1.0,YES,ISO,2024-01-01
STD-025,CMP-STD-1001,1.0,CROSS_CUTTING,Configuration Manager / CAS Lead,ACTIVE,Baseline-1.0,NO,00-PROGRAM/STANDARDS/04-CROSS_CUTTING/CONFIG_MGMT/CMP-STD-1001_Configuration_Maintenance_Planning.md,2025-10-24
